_T1,label,_T2,instances,date_B2,length,ext,value
JK000916,0321AbuJacfarTahawi.MukhtasarIkhtilafCulama,JK000292,55,321,362017,-ara1,JK000292-ara1
JK000916,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,353,1206,154434,-ara1,ShamAY0034441-ara1
JK000916,0839MahdiAhmadIbnYahya.BahrZakhkhar,Zaydiyya0000063,12,839,530232,-ara1,Zaydiyya0000063-ara1
JK000916,1342MahmudShukriAlusi.MukhtasarTuhfaIthnaCashariyya,Shamela0036091,24,1342,93468,-ara1,Shamela0036091-ara1
JK000916,0273AbuUmayyaTarsusi.MusnadAbiUmayya,Shamela0029711,4,273,3808,-ara1,Shamela0029711-ara1
JK000916,0449AbuCalaMacarri.LamicCazizi,Sham19Y0029591,6,449,260181,-ara1,Sham19Y0029591-ara1
JK000916,0281AbuZurcaDimashqi.Tarikh,Shamela0030741,675,281,75006,-ara1.mARkdown,Shamela0030741-ara1.mARkdown
JK000916,0378HakimKabir.ShicarAshabHadith,Shia002073,28,378,10602,-ara1,Shia002073-ara1
JK000916,0643DiyaDinMuqaddasi.Cudda,Shamela0009385,18,643,9757,-ara1,Shamela0009385-ara1
JK000916,0360HamzaIsfahani.Tanbih,Sham19Y0018257,4,360,21920,-ara1,Sham19Y0018257-ara1
JK000916,0608IbnCutyaQudaciTurtushi.TahrirMaqal,Shamela0022712,39,608,116838,-ara1,Shamela0022712-ara1
JK000916,0310IbnAhmadDulabi.KunaWaAsma,JK007016,355,310,180497,-ara1.completed,JK007016-ara1.completed
JK000916,0597IbnJawzi.Tabsira,JK007063,214,597,182708,-ara1,JK007063-ara1
JK000916,0281IbnAbiDunya.FadlCashrDhiHijja,ShamAY0038170,2,281,1751,-ara1,ShamAY0038170-ara1
JK000916,0322IbnTabataba.CiyarShicr,Shamela0006911,17,322,17796,-ara1.completed,Shamela0006911-ara1.completed
JK000916,0321IbnDuraydAzdi.MatarWaSahab,ShamIbadiyya0000647,2,321,5577,-ara1,ShamIbadiyya0000647-ara1
JK000916,0610Mutarrizi.MugharrabFiTacribMucarrab,Shamela0008459,2,610,136422,-ara1,Shamela0008459-ara1
JK000916,0261AbuHasanCijli.MacrifatThiqat,JK000497,102,261,42473,-ara1.mARkdown,JK000497-ara1.mARkdown
JK000916,1450KhalidRibat.JamicIbnHanbalRijal,Sham19Y0020881,384,1450,411091,-ara1,Sham19Y0020881-ara1
JK000916,0521IbnMuhammadBatalyawsi.HulalFiSharh,Shamela0000634,11,521,41814,-ara1,Shamela0000634-ara1
JK000916,1306FikriBasha.NazmLaal,Shamela0005385,1,1306,25099,-ara1,Shamela0005385-ara1
JK000916,0795IbnRajabHanbali.SharhHadithLabbayka,JK000034,5,795,11140,-ara1,JK000034-ara1
JK000916,0842IbnNasirDinDimashqi.IftitahQari,ShamAY0033545,8,842,5706,-ara1,ShamAY0033545-ara1
JK000916,1033MarciKarmi.IthafDhawiAlbab,Shamela0096271,1,1033,9804,-ara1,Shamela0096271-ara1
JK000916,0571IbnCasakir.Tajrid,ShamAY0032878,34,571,7166,-ara1,ShamAY0032878-ara1
JK000916,0510AbuKhattabKalwadhani.TamhidhFiUsulFiqh,Sham19Y0014103,2,510,200457,-ara1,Sham19Y0014103-ara1
JK000916,0548IbnQaysaraniShacir.Diwan,ShamAY0037840,4,548,20498,-ara1,ShamAY0037840-ara1
JK000916,0772IbnHasanJamalDinIsnawi.MuhimmatFiSharhRawda,Sham19Y0014580,16,772,951090,-ara1,Sham19Y0014580-ara1
JK000916,0658IbnAbbar.MucjamAshab,JK009189,64,658,74610,-ara1.completed,JK009189-ara1.completed
JK000916,0728IbnTaymiyya.IqtidaSirat,Shamela0011620,39,728,128464,-ara1,Shamela0011620-ara1
JK000916,0329IbnMuhammadMarwaziHamid.Muntaqa,Shamela0005776,6,329,5352,-ara1,Shamela0005776-ara1
JK000916,1031CabdRaufMunawi.YawaqitWaDurar,JK006973,2,1031,69614,-ara1,JK006973-ara1
JK000916,0412IbnMuhammadHarawi.ArbacunaFiShuyukhSufiyya,Shamela0008247,19,412,8861,-ara1,Shamela0008247-ara1
JK000916,0463IbnCabdBarr.TamhidMuwatta,Shamela0001719,668,463,1440990,-ara1,Shamela0001719-ara1
JK000916,0840IbnWazirYamani.ItharHaqq,JK000966,6,840,117509,-ara1,JK000966-ara1
JK000916,0282IbnHarbCaskari.MusnadAbiHurayra,Shamela0026592,8,282,4609,-ara1,Shamela0026592-ara1
JK000916,0748Dhahabi.FaslFiSamac,ShamAY0033562BK2,4,748,37537,-ara1,ShamAY0033562BK2-ara1
JK000916,0626YaqutHamawi.MucjamBuldan,Shamela0023735,622,626,1124202,-ara1.completed,Shamela0023735-ara1.completed
JK000916,0359AbuBakrNasibi.Hadith,Shamela0029897,5,359,3857,-ara1,Shamela0029897-ara1
JK000916,0728IbnTaymiyya.DarTacarud,JK000362,13,728,672588,-ara1,JK000362-ara1
JK000916,0648IbnKhalilHalabi.CawaliHishamIbnCurwa,Shamela0026561,14,648,5028,-ara1,Shamela0026561-ara1
JK000916,0535QawwamSunna.Musalsalat,Shamela0021680,3,535,1794,-ara1,Shamela0021680-ara1
JK000916,0749IbnFadlAllahCumari.MasalikAbsar,Shamela0011790,360,749,1128268,-ara1,Shamela0011790-ara1
JK000916,0311IbnKhuzaymaNaysaburi.Tawhid,ShamAY0033974,86,311,92233,-ara1,ShamAY0033974-ara1
JK000916,0541IbnCatiyaAndalusi.MuharrirWajiz,Tafsir02014,23,541,1036459,-ara1,Tafsir02014-ara1
JK000916,0884AbuDharrSibtIbnCajami.KunuzDhahab,Shamela0011786,22,884,159422,-ara1,Shamela0011786-ara1
JK000916,0175LaythIbnSacd.MajlisMinFawaid,Shamela0009812,3,175,1424,-ara1,Shamela0009812-ara1
JK000916,0845Maqrizi.Rasail,Shamela0010710,34,845,72885,-ara1,Shamela0010710-ara1
JK000916,1450AsgharMuntazarQaim.DawrQabailYamaniyya,Zaydiyya0000238,1,1450,18271,-ara1,Zaydiyya0000238-ara1
JK000916,0320IbnMuhammadBayhaqi.Mahasin,JK009291,149,320,141930,-ara1,JK009291-ara1
JK000916,0224QasimIbnSalam.KhutabWaMawaciz,Shamela0026510,59,224,10500,-ara1,Shamela0026510-ara1
JK000916,0488IbnFutuhHumaydi.JamcBaynaSahihayn,JK007065,778,488,457750,-ara1,JK007065-ara1
JK000916,0322IbnCabdAllahDhuhali.Fawaid,Shamela0027099,9,322,1313,-ara1,Shamela0027099-ara1
JK000916,0468IbnAhmadWahidiNaysaburi.WasitFiTafsir,Sham19Y0013231,115,468,2703477,-ara1,Sham19Y0013231-ara1
JK000916,0457IbnAhmadSayrafi.Mashyakha,Shamela0012749,72,457,17298,-ara1.completed,Shamela0012749-ara1.completed
JK000916,0597IbnJawzi.SaydKhatir,Shamela0012028,7,597,116353,-ara1,Shamela0012028-ara1
JK000916,0855IbnSabbaghMakki.FusulMuhimma,Shia003727Vols,166,855,436910,-ara1,Shia003727Vols-ara1
JK000916,0953IbnTulun.RisalaFiTafsirInnaIbrahim,Shamela0026435,15,953,5683,-ara1,Shamela0026435-ara1
JK000916,0590AbuMuzaffarJawhari.Cawali,ShamAY0032971,16,590,5784,-ara1,ShamAY0032971-ara1
JK000916,0852IbnHajarCasqalani.KhisalMukaffira,ShamAY0034819,1,852,31093,-ara1,ShamAY0034819-ara1
JK000916,0181IbnMubarak.Musnad,Shia001881,72,181,38400,-ara1,Shia001881-ara1
JK000916,0880IbnAhmadShamsDinAsyuti.IthafAkhissa,Sham19Y0014045,185,880,83989,-ara1,Sham19Y0014045-ara1
JK000916,0530FurawiSacidi.Arbacun,ShamAY0032902,4,530,5913,-ara1,ShamAY0032902-ara1
JK000916,0241IbnHanbal.FadailSahaba,JK000482,862,241,127448,-ara1.mARkdown,JK000482-ara1.mARkdown
JK000916,0330IbnCuzayrSijistani.Ishtiqaq,ShamAY0036737,15,330,77196,-ara1,ShamAY0036737-ara1
JK000916,0619IbnCabdWahidGhafiqi.LamahatAnwar,ShamAY0034080,114,619,128141,-ara1,ShamAY0034080-ara1
JK000916,1450AbuTayyibMansuri.Irshad,Shamela0029745,150,1450,129115,-ara1,Shamela0029745-ara1
JK000916,0242IbnAslamTusi.Arbacun,Shamela0010620,9,242,2813,-ara1,Shamela0010620-ara1
JK000916,0347IbnYunusSadafi.Tarikh,Shamela0011686,291,347,153145,-ara1.mARkdown,Shamela0011686-ara1.mARkdown
JK000916,0312IbnCaliTusi.MukhtasarAhkam,Shamela0005583,56,312,88627,-ara1,Shamela0005583-ara1
