_T1,label,_T2,instances,date_B2,length,ext,value
JK006838,0793AbuHasanMalaqi.TarikhQudat,Shamela0004363,1,793,61479,-ara1.completed,Shamela0004363-ara1.completed
JK006838,0751IbnQayyimJawziyya.RawdatMuhibbin,ShamAY0038393,4,751,113652,-ara2,ShamAY0038393-ara2
JK006838,0256Bukhari.KhalqAfcal,Shamela0009697,8,256,24566,-ara1,Shamela0009697-ara1
JK006838,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,377,1206,154434,-ara1,ShamAY0034441-ara1
JK006838,0321AbuJacfarTahawi.MukhtasarIkhtilafCulama,JK000292,12,321,362017,-ara1,JK000292-ara1
JK006838,0463KhatibBaghdadi.MuttafiqWaMuftariq,Shamela0009076,39,463,211068,-ara1.completed,Shamela0009076-ara1.completed
JK006838,0430AbuNucaymIsbahani.ImamaWaRaddCalaRafida,Shamela0006449,15,430,25263,-ara1,Shamela0006449-ara1
JK006838,0795IbnRajabHanbali.JamicCulumWaHikam,Shamela0010443,13,795,188484,-ara1,Shamela0010443-ara1
JK006838,0590AbuKhayrQazwini.MukhtarMinAhadith,ShamAY0032945,1,590,7355,-ara1,ShamAY0032945-ara1
JK006838,0456IbnHazm.MuhallaBiAthar,Shamela0000767,68,456,1480381,-ara1.completed,Shamela0000767-ara1.completed
JK006838,0281IbnAbiDunya.MujabuDacwa,Shamela0012936,9,281,11958,-ara1.completed,Shamela0012936-ara1.completed
JK006838,0705SharafDinDimyatti.JuzFihiAmali,ShamAY0033572,2,705,2230,-ara1,ShamAY0033572-ara1
JK006838,0329IbnIbrahimQummi.Tafsir,Shia002337Vols,8,329,248376,-ara1,Shia002337Vols-ara1
JK006838,0281IbnAbiDunya.Juc,Shamela0009306,2,281,15615,-ara1.mARkdown,Shamela0009306-ara1.mARkdown
JK006838,0839MahdiAhmadIbnYahya.BahrZakhkhar,Zaydiyya0000063,5,839,530232,-ara1,Zaydiyya0000063-ara1
JK006838,1152IbrahimShajari.TabaqatZaydiyya,Zaydiyya0000336,3,1152,248845,-ara1,Zaydiyya0000336-ara1
JK006838,1127IsmacilHaqqiBurusawi.RuhBayan,ShamAY0034059,101,1127,2429568,-ara1,ShamAY0034059-ara1
JK006838,0279Baladhuri.AnsabAshraf,Shamela0009773,68,279,1107224,-ara1.completed,Shamela0009773-ara1.completed
JK006838,0240KhalifaIbnKhayyat.Musnad,Shamela0012863,4,240,4517,-ara1,Shamela0012863-ara1
JK006838,0814IbnNahhas.TanbihGhafilin,Sham19Y0035453,2,814,94750,-ara1,Sham19Y0035453-ara1
