_T1,label,_T2,instances,date_B2,length,ext,value
JK000969,0728IbnTaymiyya.MuqaddimaFiUsulTafsir,Shamela0012081,1,728,9236,-ara1,Shamela0012081-ara1
JK000969,0507IbnQaysarani.HujjaCalaTarikMahajja,ShamAY0033885,2,507,18088,-ara1,ShamAY0033885-ara1
JK000969,0388AbuSulaymanKhattabi.GhunyaCanKalam,ShamAY0033606,8,388,31300,-ara1,ShamAY0033606-ara1
JK000969,0728IbnTaymiyya.DarTacarud,JK000362,6,728,672588,-ara1,JK000362-ara1
JK000969,0748Dhahabi.SiyarAclamNubala,Shamela0010906,2,748,2211262,-ara1.completed,Shamela0010906-ara1.completed
JK000969,1450Maghrawi.MawsucaMawaqifSalaf,Shamela0037325,45,1450,929481,-ara1,Shamela0037325-ara1
JK000969,0911Suyuti.SawnMantiq,Sham19Y0151019,69,911,50660,-ara1,Sham19Y0151019-ara1
JK000969,0450AbuHasanMawardi.HawiKabir,ShamAY0034249,1,450,2795709,-ara1,ShamAY0034249-ara1
JK000969,0620IbnMuhammadIbnCasakir.ArbacunaFiManaqibUmmahat,Shamela0006596,1,620,14638,-ara1,Shamela0006596-ara1
JK000969,0804IbnMulaqqin.Tawdih,Sham19Y0013252,1,804,4006476,-ara1,Sham19Y0013252-ara1
JK000969,0387IbnBattaCukbari.IbanaKubra,Shamela0008206,1,387,291995,-ara1,Shamela0008206-ara1
JK000969,0543IbnCarabiIshbili.QanunTawil,Shamela0097927,5,543,103602,-ara1,Shamela0097927-ara1
JK000969,0285IbrahimHarbi.RisalaFiQuranGhayrMakhluq,JK001161,3,285,1839,-ara1,JK001161-ara1
JK000969,1423CabbasAhmadSaqr.JamicAhadith,JK009390,1,1423,2376687,-ara1.completed,JK009390-ara1.completed
JK000969,1061NajmDinGhazzi.HusnTanabbuh,Sham19Y0014592,1,1061,1074900,-ara1,Sham19Y0014592-ara1
JK000969,0728IbnTaymiyya.Iman,Sham19Y0020587,3,728,181852,-ara1,Sham19Y0020587-ara1
JK000969,0513AbuWafaIbnCaqil.WadihFiUsulFiqh,Sham19Y0122232,1,513,491765,-ara1,Sham19Y0122232-ara1
JK000969,1150IbnCaqila.Ziyada,Sham19Y0150960,1,1150,458790,-ara1,Sham19Y0150960-ara1
JK000969,1420MuhammadNasirDinAlbani.SahihWaDacifSunanTirmidhi,Shamela0000782,1,1420,399750,-ara1,Shamela0000782-ara1
JK000969,1450DarIftaMisriyya.JamicAhadith,Shamela0001438,1,1450,2417087,-ara1.completed,Shamela0001438-ara1.completed
JK000969,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,Shamela0003118,1,711,2397281,-ara1.completed,Shamela0003118-ara1.completed
JK000969,0535QawwamSunna.HujjaFiBayanMahajja,Shamela0006446,55,535,140562,-ara1,Shamela0006446-ara1
JK000969,0795IbnRajabHanbali.RawaicTafsir,Shamela0010463,1,795,259777,-ara1,Shamela0010463-ara1
