_T1,label,_T2,instances,date_B2,length,ext,value
JK000914,0321AbuJacfarTahawi.MukhtasarIkhtilafCulama,JK000292,2,321,362017,-ara1,JK000292-ara1
JK000914,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,17,1206,154434,-ara1,ShamAY0034441-ara1
JK000914,1206IbnCabdWahhab.ThalathatUsul,Shamela0000239,1,1206,5810,-ara1,Shamela0000239-ara1
JK000914,0279Baladhuri.AnsabAshraf,Shamela0009773,5,279,1107224,-ara1.completed,Shamela0009773-ara1.completed
JK000914,0422QadiCabdWahhabThaclabi.CuyunMasail,Sham19Y0014467,1,422,113583,-ara1,Sham19Y0014467-ara1
JK000914,0449AbuCalaMacarri.LamicCazizi,Sham19Y0029591,1,449,260181,-ara1,Sham19Y0029591-ara1
JK000914,0310IbnAhmadDulabi.KunaWaAsma,JK007016,2,310,180497,-ara1.completed,JK007016-ara1.completed
JK000914,0597IbnJawzi.Tabsira,JK007063,9,597,182708,-ara1,JK007063-ara1
JK000914,0597CimadDinKatib.KharidatQasr,JK009370Vols,34,597,699015,-ara1.completed,JK009370Vols-ara1.completed
JK000914,1450KhalidRibat.JamicIbnHanbalRijal,Sham19Y0020881,5,1450,411091,-ara1,Sham19Y0020881-ara1
JK000914,0600CabdGhaniMuqaddasi.TahrimQatl,Shamela0009390,1,600,10814,-ara1,Shamela0009390-ara1
JK000914,0748Dhahabi.TalkhisMawducatIbnJawzi,JK005018,2,748,48784,-ara1,JK005018-ara1
JK000914,1206IbnCabdWahhab.UsulDin,Shamela0000350,2,1206,4892,-ara1,Shamela0000350-ara1
JK000914,0842IbnNasirDinDimashqi.IftitahQari,ShamAY0033545,1,842,5706,-ara1,ShamAY0033545-ara1
JK000914,0582IbnBarri.HawashiCalaDurratGhawass,Sham19Y0029601,2,582,17864,-ara1,Sham19Y0029601-ara1
JK000914,0412IbnMuhammadHarawi.ArbacunaFiShuyukhSufiyya,Shamela0008247,9,412,8861,-ara1,Shamela0008247-ara1
JK000914,0772IbnHasanJamalDinIsnawi.MuhimmatFiSharhRawda,Sham19Y0014580,82,772,951090,-ara1,Sham19Y0014580-ara1
JK000914,0658IbnAbbar.MucjamAshab,JK009189,3,658,74610,-ara1.completed,JK009189-ara1.completed
JK000914,1031CabdRaufMunawi.YawaqitWaDurar,JK006973,19,1031,69614,-ara1,JK006973-ara1
JK000914,0463IbnCabdBarr.TamhidMuwatta,Shamela0001719,25,463,1440990,-ara1,Shamela0001719-ara1
JK000914,0923AhmadQastallani.IrshadSari,Shamela0021715,71,923,3401828,-ara1.completed,Shamela0021715-ara1.completed
JK000914,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,JK009225,4,487,178079,-ara1,JK009225-ara1
JK000914,0458QadiAbuYacla.CuddaFiUsulFiqh,ShamAY0038640,1,458,344075,-ara1,ShamAY0038640-ara1
JK000914,0581AbuMusaMadini.KhasaisMusnadAhmad,Shia002177,8,581,2723,-ara1,Shia002177-ara1
