_T1,label,_T2,instances,date_B2,length,ext,value
JK007001,0321AbuJacfarTahawi.MukhtasarIkhtilafCulama,JK000292,2,321,362017,-ara1,JK000292-ara1
JK007001,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,1,1206,154434,-ara1,ShamAY0034441-ara1
JK007001,0279Baladhuri.AnsabAshraf,Shamela0009773,25,279,1107224,-ara1.completed,Shamela0009773-ara1.completed
JK007001,0772ShamsDinHanbaliZarqashi.SharhCalaMukhtasarKhiraqi,Shamela0021743,1,772,583799,-ara1,Shamela0021743-ara1
JK007001,0756TaqiDinSubki.Ibhaj,Sham19Y0147104,1,756,619208,-ara3,Sham19Y0147104-ara3
JK007001,0362AbuFarajIsbahani.MaqatilTalibiyyin,Shamela0012404,1,362,128873,-ara1.completed,Shamela0012404-ara1.completed
JK007001,0281AbuZurcaDimashqi.Tarikh,Shamela0030741,1,281,75006,-ara1.mARkdown,Shamela0030741-ara1.mARkdown
JK007001,0571IbnCasakir.ArbacunaFiHathth,JK000616,1,571,5947,-ara1,JK000616-ara1
JK007001,0322IbnTabataba.CiyarShicr,Shamela0006911,1,322,17796,-ara1.completed,Shamela0006911-ara1.completed
JK007001,0597IbnJawzi.Tabsira,JK007063,1,597,182708,-ara1,JK007063-ara1
JK007001,0310IbnAhmadDulabi.KunaWaAsma,JK007016,4,310,180497,-ara1.completed,JK007016-ara1.completed
JK007001,0261AbuHasanCijli.MacrifatThiqat,JK000497,1,261,42473,-ara1.mARkdown,JK000497-ara1.mARkdown
JK007001,0833QadiShammac.MatalicTamam,ShamAY0036197,1,833,83944,-ara1,ShamAY0036197-ara1
JK007001,0610Mutarrizi.MugharrabFiTacribMucarrab,Shamela0008459,1,610,136422,-ara1,Shamela0008459-ara1
JK007001,1450KhalidRibat.JamicIbnHanbalRijal,Sham19Y0020881,5,1450,411091,-ara1,Sham19Y0020881-ara1
JK007001,0321AbuJacfarTahawi.SharhMacaniAthar,Shia002003Vols,5,321,615258,-ara1,Shia002003Vols-ara1
JK007001,0684ShihabDinQarafi.Furuq,Shamela0002215,2,684,810131,-ara1,Shamela0002215-ara1
JK007001,0362AbuFarajIsbahani.Aghani,JK000927,43,362,1527426,-ara1.completed,JK000927-ara1.completed
JK007001,0327IbnAbiHatimRazi.JarhWaTacdil,Shamela0002170,5,327,897971,-ara1.completed,Shamela0002170-ara1.completed
JK007001,0460ShaykhTusi.TahdhibAhkam,Shia001161Vols,1,460,1115403,-ara1,Shia001161Vols-ara1
JK007001,0954HattabRucayniMaghribi.MawahibJalil,ShamAY0034227,2,954,1525019,-ara1,ShamAY0034227-ara1
JK007001,1450MuhammadIbnHasanCujri.IclamAclam,Zaydiyya0000149,1,1450,88252,-ara1,Zaydiyya0000149-ara1
JK007001,0658IbnAbbar.MucjamAshab,JK009189,1,658,74610,-ara1.completed,JK009189-ara1.completed
JK007001,0463IbnCabdBarr.TamhidMuwatta,Shamela0001719,14,463,1440990,-ara1,Shamela0001719-ara1
JK007001,0923AhmadQastallani.IrshadSari,Shamela0021715,2,923,3401828,-ara1.completed,Shamela0021715-ara1.completed
JK007001,0487AbuCubaydBakri.SimtLaaliFiSharhAmali,JK009225,1,487,178079,-ara1,JK009225-ara1
