_T1,label,_T2,instances,date_B2,length,ext,value
DARE00107,0275ThayadurusIbnBasil.AnulutiqaUla,GRAR000014,35,275,38069,-ara1,GRAR000014-ara1
DARE00107,0595IbnRushdHafid.TalkhisKhitaba,JK010698,1,595,72472,-ara1,JK010698-ara1
DARE00107,0595IbnRushdHafid.TalkhisSafsata,ShamAY0034178,464,595,64791,-ara1,ShamAY0034178-ara1
DARE00107,0595IbnRushdHafid.TalkhisBurhan,DARE00108,1,595,29470,-ara1,DARE00108-ara1
DARE00107,0456IbnHazm.Rasail,Shamela0001038,1,456,287942,-ara1,Shamela0001038-ara1
DARE00107,0595IbnRushdHafid.Qiyas,Shamela0009707,429,595,58485,-ara1,Shamela0009707-ara1
