_T1,label,_T2,instances,date_B2,length,ext,value
JK000603,0795IbnRajabHanbali.JamicCulumWaHikam,Shamela0010443,4,795,188484,-ara1,Shamela0010443-ara1
JK000603,0456IbnHazm.MuhallaBiAthar,Shamela0000767,1,456,1480381,-ara1.completed,Shamela0000767-ara1.completed
JK000603,1127IsmacilHaqqiBurusawi.RuhBayan,ShamAY0034059,3,1127,2429568,-ara1,ShamAY0034059-ara1
JK000603,0772ShamsDinHanbaliZarqashi.SharhCalaMukhtasarKhiraqi,Shamela0021743,1,772,583799,-ara1,Shamela0021743-ara1
JK000603,0321AbuJacfarTahawi.SharhMushkilAthar,Shamela0022547,2,321,844016,-ara1,Shamela0022547-ara1
JK000603,0458Bayhaqi.DalailNubuwwa,JK006838,1,458,525097,-ara1.mARkdown,JK006838-ara1.mARkdown
JK000603,0748Dhahabi.TadhhibTahdhib,Sham19Y0149213,2,748,838079,-ara1,Sham19Y0149213-ara1
JK000603,0538JarAllahZamakhshari.FaiqFiGharib,Shia002170Vols,1,538,296470,-ara1,Shia002170Vols-ara1
JK000603,0321AbuJacfarTahawi.SharhMacaniAthar,Shia002003Vols,1,321,615258,-ara1,Shia002003Vols-ara1
JK000603,0905IbnCaliTaqiDinKafcami.MuhasabatNafs,Shia001400,1,905,30493,-ara1,Shia001400-ara1
JK000603,0360Tabarani.MucjamKabir,Shamela0001733,2,360,1539036,-ara1,Shamela0001733-ara1
JK000603,0724IbnCattar.CuddaFiSharhCumda,Sham19Y0014224,3,724,409770,-ara1,Sham19Y0014224-ara1
JK000603,0840IbnWazirYamani.RawdBasim,Shamela0036427,3,840,105744,-ara1,Shamela0036427-ara1
JK000603,0842IbnNasirDinDimashqi.IftitahQari,ShamAY0033545,2,842,5706,-ara1,ShamAY0033545-ara1
JK000603,0234IbnAbiShayba.Musannaf,JK000786,3,234,1279050,-ara1.completed,JK000786-ara1.completed
JK000603,0629IbnNuqta.TaqyidLiMacrifa,Shamela0009584,5,629,110777,-ara1.completed,Shamela0009584-ara1.completed
JK000603,0463IbnCabdBarr.TamhidMuwatta,Shamela0001719,2,463,1440990,-ara1,Shamela0001719-ara1
JK000603,0923AhmadQastallani.IrshadSari,Shamela0021715,8,923,3401828,-ara1.completed,Shamela0021715-ara1.completed
JK000603,0654SibtIbnJawzi.MiratZaman,SHAM19Y23644,1,654,2401897,-ara1,SHAM19Y23644-ara1
