_T1,label,_T2,instances,date_B2,length,ext,value
JK000134,1206IbnCabdWahhab.MukhtasarSira,ShamAY0034441,4,1206,154434,-ara1,ShamAY0034441-ara1
JK000134,0463KhatibBaghdadi.MuttafiqWaMuftariq,Shamela0009076,28,463,211068,-ara1.completed,Shamela0009076-ara1.completed
JK000134,0321AbuJacfarTahawi.MukhtasarIkhtilafCulama,JK000292,2,321,362017,-ara1,JK000292-ara1
JK000134,0795IbnRajabHanbali.JamicCulumWaHikam,Shamela0010443,1,795,188484,-ara1,Shamela0010443-ara1
JK000134,0579AbuFathKhiraqi.Fawaid,ShamAY0032766,2,579,6137,-ara1,ShamAY0032766-ara1
JK000134,0751IbnQayyimJawziyya.RawdatMuhibbin,ShamAY0038393,1,751,113652,-ara2,ShamAY0038393-ara2
JK000134,0381IbnMuqriIsbahani.JuzNafic,Shia002075,3,381,3819,-ara1,Shia002075-ara1
JK000134,0281IbnAbiDunya.MujabuDacwa,Shamela0012936,4,281,11958,-ara1.completed,Shamela0012936-ara1.completed
JK000134,0456IbnHazm.MuhallaBiAthar,Shamela0000767,6,456,1480381,-ara1.completed,Shamela0000767-ara1.completed
JK000134,1450CabdSalamWajih.AclamMuallifinZaydiyya,Zaydiyya0000209,1,1450,109633,-ara1,Zaydiyya0000209-ara1
JK000134,1152IbrahimShajari.TabaqatZaydiyya,Zaydiyya0000336,50,1152,248845,-ara1,Zaydiyya0000336-ara1
JK000134,0698IbnFaraGhassani.NuzhatAbsar,ShamAY0033595,1,698,27379,-ara1,ShamAY0033595-ara1
JK000134,1422MuqbilWadici.TarajimRijal,Shamela0029879,4,1422,114961,-ara1,Shamela0029879-ara1
JK000134,0852IbnHajarCasqalani.GharaibMinMusannadFirdaws,ShamAY0032826,4,852,373423,-ara1,ShamAY0032826-ara1
JK000134,0511IbnMandahYahya.ManCasha,Shamela0009628,1,511,2672,-ara1,Shamela0009628-ara1
JK000134,0279Baladhuri.AnsabAshraf,Shamela0009773,10,279,1107224,-ara1.completed,Shamela0009773-ara1.completed
JK000134,1127IsmacilHaqqiBurusawi.RuhBayan,ShamAY0034059,3,1127,2429568,-ara1,ShamAY0034059-ara1
JK000134,0748Dhahabi.DhikrAsmaManTakallama,Shamela0001892,1,748,8045,-ara1.completed,Shamela0001892-ara1.completed
JK000134,0240KhalifaIbnKhayyat.Musnad,Shamela0012863,1,240,4517,-ara1,Shamela0012863-ara1
JK000134,0902Sakhawi.Buldaniyyat,JK007062,1,902,37366,-ara1.completed,JK007062-ara1.completed
JK000134,0360Tabarani.Tafsir,ShamAY0033108,1,360,606721,-ara1,ShamAY0033108-ara1
JK000134,0321AbuJacfarTahawi.SharhMushkilAthar,Shamela0022547,10,321,844016,-ara1,Shamela0022547-ara1
JK000134,1375CabdAllahIbnImamHadiQasimi.JadawilSughra,Zaydiyya0000099,26,1375,225232,-ara1,Zaydiyya0000099-ara1
JK000134,0756TaqiDinSubki.Ibhaj,Sham19Y0147104,21,756,619208,-ara3,Sham19Y0147104-ara3
JK000134,0633IbnHasanIbnDihyaKalbi.AdaMaWajaba,Shamela0023163,3,633,19261,-ara1,Shamela0023163-ara1
JK000134,0794BadrDinZarkashi.TashnifMasamic,Sham19Y0122142,1,794,273634,-ara1,Sham19Y0122142-ara1
JK000134,0728IbnTaymiyya.RaddCalaSubki,Sham19Y0032384,1,728,231919,-ara1,Sham19Y0032384-ara1
JK000134,0330IbnIsmacilMahamili.SalatCidayn,ShamAY0038154,2,330,9752,-ara1,ShamAY0038154-ara1
JK000134,1450CabdKarimKhudayr.SharhKitabFitan,Shamela0021741,3,1450,51695,-ara1,Shamela0021741-ara1
JK000134,0804IbnMulaqqin.CiqdMudhahhab,Sham19Y0016664,1,804,116358,-ara1,Sham19Y0016664-ara1
JK000134,0362AbuFarajIsbahani.MaqatilTalibiyyin,Shamela0012404,3,362,128873,-ara1.completed,Shamela0012404-ara1.completed
JK000134,0776JamalDinSurramarri.KhasaisSayyidCalamin,Sham19Y0020594,7,776,108541,-ara1,Sham19Y0020594-ara1
JK000134,1205MurtadaZabidi.TajCarus,Shia003965Vols,7,1205,4357074,-ara1,Shia003965Vols-ara1
JK000134,0911Suyuti.Muhadarat,Shamela0009099,1,911,119395,-ara1,Shamela0009099-ara1
JK000134,0281AbuZurcaDimashqi.Tarikh,Shamela0030741,27,281,75006,-ara1.mARkdown,Shamela0030741-ara1.mARkdown
JK000134,0378HakimKabir.ShicarAshabHadith,Shia002073,1,378,10602,-ara1,Shia002073-ara1
JK000134,0405HakimNaysaburi.MadkhalIlaIklil,Shamela0005997,2,405,8166,-ara1,Shamela0005997-ara1
JK000134,0458Bayhaqi.Khilafiyyat,Sham19Y0131336,34,458,650228,-ara1,Sham19Y0131336-ara1
JK000134,0748Dhahabi.TadhhibTahdhib,Sham19Y0149213,3549,748,838079,-ara1,Sham19Y0149213-ara1
