_T1,label,_T2,instances,date_B2,length,ext,value
JK006963,0276IbnQutaybaDinawari.Jarathim,Shamela0009228,12,276,56286,-ara1.mARkdown,Shamela0009228-ara1.mARkdown
JK006963,0328IbnQasimAnbari.SharhQasaidSabc,Sham19Y0124335,1,328,109841,-ara1,Sham19Y0124335-ara1
JK006963,1205MurtadaZabidi.TajCarus,Shia003965Vols,4,1205,4357074,-ara1,Shia003965Vols-ara1
JK006963,0808MuhammadDamiri.HayatHayawanKubra,Shamela0010664,2,808,435882,-ara1,Shamela0010664-ara1
JK006963,0463IbnCabdBarr.TamhidMuwatta,Shamela0001719,1,463,1440990,-ara1,Shamela0001719-ara1
JK006963,0370AbuMansurAzhari.ZahirFiGharibAlfazShafici,JK000311,1,370,53617,-ara1,JK000311-ara1
JK006963,0356AbuCaliQali.AmaliFiLugha,JK000919,5,356,203878,-ara1,JK000919-ara1
JK006963,0671AbuCabdAllahQurtubi.JamicLiAhkamQuran,Shia002616Vols,1,671,2198957,-ara1,Shia002616Vols-ara1
JK006963,0224QasimIbnSalam.GharibMusannaf,Shamela0001536,4,224,25615,-ara1,Shamela0001536-ara1
JK006963,0255Jahiz.Hayawan,Shamela0023775,10,255,402927,-ara1.completed,Shamela0023775-ara1.completed
JK006963,0458IbnSidaMursi.Mukhassas,JK000849,14,458,897927,-ara1,JK000849-ara1
JK006963,0470IbnIsmacilTarabulusi.KifayatMutahaffiz,JK001193,1,470,8856,-ara1,JK001193-ara1
JK006963,0606IbnAthirMajdDin.Shafi,Sham19Y0013241,2,606,584216,-ara1,Sham19Y0013241-ara1
JK006963,0244IbnSikkit.Alfaz,Sham19Y0013249,2,244,75308,-ara1,Sham19Y0013249-ara1
JK006963,0911Suyuti.JamicKabir,Sham19Y0127677,1,911,6263066,-ara1,Sham19Y0127677-ara1
JK006963,0458Bayhaqi.SunanKubra,Sham19Y0148486,1,458,2559905,-ara1,Sham19Y0148486-ara1
JK006963,0311IbnKhuzaymaNaysaburi.Sahih,ShamAY0031687,1,311,367971,-ara1,ShamAY0031687-ara1
JK006963,0650IbnMuhammadRadiDinSaghani.CubabZakhir,Shamela0000761,1,650,263588,-ara1,Shamela0000761-ara1
JK006963,0327IbnAbiHatimRazi.AdabShafici,Shamela0001485,2,327,23533,-ara1,Shamela0001485-ara1
JK006963,0244IbnSikkit.QalbWaIbdal,Shamela0005420,2,244,16135,-ara1,Shamela0005420-ara1
JK006963,0855BadrDinCayni.CumdatQari,Shamela0005756,4,855,4647745,-ara1.completed,Shamela0005756-ara1.completed
JK006963,0216IbnQuraybAsmaci.Ibl,Shamela0009208,1,216,16706,-ara1,Shamela0009208-ara1
JK006963,0600IbnCabdAllahQaysi.IdahShawahid,Shamela0009250,2,600,98409,-ara1,Shamela0009250-ara1
JK006963,0458IbnSidaMursi.MuhkamWaMuhit,Shamela0009757,1,458,1021615,-ara1,Shamela0009757-ara1
JK006963,0626YaqutHamawi.MucjamUdaba,Shamela0009788,1,626,739893,-ara1.completed,Shamela0009788-ara1.completed
JK006963,0562IbnHamdun.TadhkiraHamduniyya,Shamela0010646,2,562,735591,-ara1,Shamela0010646-ara1
JK006963,0338AbuJacfarNahhas.CumdatKuttab,Shamela0026803,1,338,65733,-ara1,Shamela0026803-ara1
JK006963,0393IbnHammadJawhari.MuntakhabMinSihahJawhari,Shamela0028100,1,393,362904,-ara1,Shamela0028100-ara1
JK006963,0370AbuMansurAzhari.TahdhibLugha,JK007040,2,370,1342240,-ara1,JK007040-ara1
JK006963,0909IbnCabdHadi.DurrNaqi,Sham19Y0131003,1,909,201256,-ara1,Sham19Y0131003-ara1
JK006963,0395IbnFarisQazwini.MucjamMaqayis,Shamela0021710,1,395,362986,-ara1,Shamela0021710-ara1
JK006963,0244IbnSikkit.KanzLughawi,JK010885,4,244,41593,-ara1,JK010885-ara1
JK006963,0518IbnMuhammadMaydaniNaysaburi.MucjamAmthal,Shamela0012929,1,518,239682,-ara1,Shamela0012929-ara1
JK006963,0458Bayhaqi.MacrifatSunanWaAthar,Shamela0002863,3,458,754350,-ara1.completed,Shamela0002863-ara1.completed
JK006963,0248AbuHatimSijistani.Farq,JK006964,16,248,4370,-ara1,JK006964-ara1
JK006963,0711IbnManzurIfriqi.LisanCarab,Shamela0001687,8,711,3011635,-ara1.completed,Shamela0001687-ara1.completed
