label,Book Id,Length,Date,ext,value
1319IbnYasinLabadiNabulusi.HashiyatCalaNaylMaarib,Shamela0097809,112914,1319,-ara1,Shamela0097809-ara1
1319IshaqAlShaykh.UrjuzaMufida,ShamAY0035461,3410,1319,-ara1,ShamAY0035461-ara1
1319MahdiMuhammadHuthi.BudurMudia,Zaydiyya0000081,22910,1319,-ara1,Zaydiyya0000081-ara1
1319MahdiMuhammadHuthi.MawzicaHasana,Zaydiyya0000028,22002,1319,-ara1,Zaydiyya0000028-ara1
1319MuhammadHasanAshtiyani.Qada,Shia000388,269523,1319,-ara1,Shia000388-ara1
1320IbnAhmadSayyidFuratiKawakibi.TabaicIstibdad,Shamela0036085,32722,1320,-ara1,Shamela0036085-ara1
1320IbnAhmadSayyidFuratiKawakibi.UmmQura,JK007003,34531,1320,-ara1,JK007003-ara1
1320MuhammadHusaynIsbahani.AnwarQudsiyya,Shia003758,27291,1320,-ara1,Shia003758-ara1
1320NuriTabarsi.KhatimaMustadrak,Shia001255Vols,647109,1320,-ara1,Shia001255Vols-ara1
1320NuriTabarsi.MustadrakWasail,Shia001237Vols,1756120,1320,-ara1.completed,Shia001237Vols-ara1.completed
1320NuriTabarsi.NafsRahman,Shia004050,173451,1320,-ara1,Shia004050-ara1
1321MirzaJacfarTabatabai.IrshadCibad,Shia004051,13408,1321,-ara1,Shia004051-ara1
1322HasanTawfiqCadl.RasailBushra,Shamela0037007,18923,1322,-ara1,Shamela0037007-ara1
1323CabbasNajlJacfarKashifGhita.RisalaFiImama,Shia004052,31966,1323,-ara1,Shia004052-ara1
1323MuhammadCabduh.RisalatTawhid,Shamela0006392,31102,1323,-ara1,Shamela0006392-ara1
1323MuhammadCabduh.SharhNahjBalagha,Shia001107Vols,146358,1323,-ara1.completed,Shia001107Vols-ara1.completed
1323RashidAhmadGanguhi.KawkabDurri,Sham19Y0150962,514977,1323,-ara1,Sham19Y0150962-ara1
1324FuadAframBustani.QamusCarabiFarsi,ShamAY0034691,675896,1324,-ara1,ShamAY0034691-ara1
1324IbnNasifNasraniYaziji.Diwan,ShamAY0037937,22302,1324,-ara1,ShamAY0037937-ara1
1324IbnNasifNasraniYaziji.NujcatRaid,Shamela0010426,68294,1324,-ara1,Shamela0010426-ara1
1324IbrahimNazji.NujcatRaid,Zaydiyya0000023,65810,1324,-ara1,Zaydiyya0000023-ara1
1325IbnMutahharHalabi.NahjHaqq,Zaydiyya0000258,80489,1325,-ara1,Zaydiyya0000258-ara1
1326CabdRahmanShirbini.HashiyaCalaGhurarBahiyya,Shamela0021848BK3,513324,1326,-ara1,Shamela0021848BK3-ara1
1326HartwigDerenbourg.MukhtarMinDiwanCumara,Shamela0009248BK2,27767,1326,-ara1.mARkdown,Shamela0009248BK2-ara1.mARkdown
1326IbnMuhammadHindiSahsayani.SiyanatInsan,Shamela0012027,159061,1326,-ara1,Shamela0012027-ara1
1326MuhammadAlBahrCulum.BulghatFaqih,Shia000394Vols,341506,1326,-ara1,Shia000394Vols-ara1
1327AhmadIbrahimCisa.RaddCalaShubuhat,Shamela0007625,15614,1327,-ara1,Shamela0007625-ara1
1327AhmadIbrahimCisa.TawdihMaqasid,JK000098,227310,1327,-ara1,JK000098-ara1
1327FadlAllahNuri.QacidatDamanYad,Shia000398,11493,1327,-ara1,Shia000398-ara1
1328AbuHudaSayyadi.Diwan,ShamAY0037820,30759,1328,-ara1,ShamAY0037820-ara1
